Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/Entropy,Train/KL,Train/StopIter,Train/PolicyRatio,Train/PolicyRatio/Min,Train/PolicyRatio/Max,Train/PolicyRatio/Std,Train/LR,Train/PolicyStd,TotalEnvSteps,Loss/Loss_pi,Loss/Loss_pi/Delta,Value/Adv,Loss/Loss_reward_critic,Loss/Loss_reward_critic/Delta,Value/reward,Time/Total,Time/Rollout,Time/Update,Time/Epoch,Time/FPS
-0.5171959400177002,160.0,1000.0,0.0,1.4186091423034668,0.01209575030952692,10.0,0.9934464693069458,0.9934464693069458,0.9934464693069458,0.016366688534617424,0.00029940000968053937,0.9996857643127441,2048.0,-0.01703210547566414,-0.01703210547566414,0.03242161497473717,0.02977116033434868,0.02977116033434868,-0.06652169674634933,13.945426940917969,12.141347885131836,1.8028321266174316,13.944226264953613,146.87083435058594
-0.6963911056518555,92.0,1000.0,1.0,1.413905143737793,0.012971781194210052,10.0,1.0032873153686523,1.0032873153686523,1.0032873153686523,0.01744179241359234,0.00029880000511184335,0.9950898885726929,4096.0,-0.0139822568744421,0.0030498486012220383,-0.18496325612068176,0.010805997997522354,-0.018965162336826324,-0.03788800910115242,27.469860076904297,11.659074783325195,1.8522529602050781,13.511387825012207,151.57586669921875
-0.05475000664591789,76.5,1000.0,2.0,1.412365198135376,0.014129296876490116,10.0,0.9996505975723267,0.9996505975723267,0.9996505975723267,0.01804918423295021,0.0002982000005431473,0.9936186671257019,6144.0,-0.012836487963795662,0.0011457689106464386,0.13867875933647156,0.00532873161137104,-0.005477266386151314,-0.017279157415032387,40.84660339355469,11.567846298217773,1.7967455387115479,13.364631652832031,153.24029541015625
0.09124717116355896,74.375,1000.0,3.0,1.415527582168579,0.01189988013356924,10.0,0.9990431070327759,0.9990431070327759,0.9990431070327759,0.01719563640654087,0.0002975999959744513,0.9968209266662598,8192.0,-0.00920955277979374,0.0036269351840019226,-0.11947731673717499,0.0036274201702326536,-0.0017013114411383867,0.05267662927508354,54.34081268310547,11.615191459655762,1.866776704788208,13.48200798034668,151.90615844726562
0.48921042680740356,69.19999694824219,1000.0,4.0,1.4115691184997559,0.014714842662215233,10.0,0.9981666803359985,0.9981666803359985,0.9981666803359985,0.01597432605922222,0.0002969999914057553,0.9929086565971375,10240.0,-0.014692617580294609,-0.00548306480050087,-0.0628545880317688,0.004672312643378973,0.0010448924731463194,0.03953893482685089,67.88640594482422,11.686569213867188,1.8462793827056885,13.532892227172852,151.33499145507812
0.5047287344932556,69.41666412353516,1000.0,5.0,1.4093431234359741,0.014810450375080109,10.0,0.9991062879562378,0.9991062879562378,0.9991062879562378,0.01995469257235527,0.00029639998683705926,0.9906789660453796,12288.0,-0.018977884203195572,-0.004285266622900963,-0.023086896166205406,0.0032594159711152315,-0.0014128966722637415,0.12286173552274704,81.57026672363281,11.792122840881348,1.8793890476226807,13.67155647277832,149.80006408691406
0.7044267654418945,95.64286041259766,1000.0,6.0,1.4085636138916016,0.010557910427451134,10.0,1.0000907182693481,1.0000907182693481,1.0000907182693481,0.0175543911755085,0.0002958000113721937,0.9900562167167664,14336.0,-0.014173673465847969,0.004804210737347603,0.29192686080932617,0.0029880914371460676,-0.0002713245339691639,-0.005129016935825348,95.15318298339844,11.738980293273926,1.8297855854034424,13.568815231323242,150.93434143066406
0.729386031627655,86.25,1000.0,7.0,1.400043249130249,0.014926786534488201,10.0,0.9989246129989624,0.9989246129989624,0.9989246129989624,0.020921384915709496,0.00029520000680349767,0.9819475412368774,16384.0,-0.012963773682713509,0.0012098997831344604,-0.129231795668602,0.004587588366121054,0.001599496928974986,0.058384135365486145,108.6556625366211,11.762680053710938,1.7262983322143555,13.489020347595215,151.8271942138672
1.0196658372879028,80.38888549804688,1000.0,8.0,1.385493516921997,0.01158205047249794,10.0,0.9985524415969849,0.9985524415969849,0.9985524415969849,0.015402240678668022,0.00029460000223480165,0.9678937792778015,18432.0,-0.012439721263945103,0.0005240524187684059,0.20165421068668365,0.004883102606981993,0.000295514240860939,0.10465170443058014,122.39946746826172,11.892988204956055,1.83864426612854,13.731674194335938,149.1442413330078
1.3415597677230835,94.0,1000.0,9.0,1.3787281513214111,0.01174912415444851,10.0,0.9976779818534851,0.9976779818534851,0.9976779818534851,0.01921680010855198,0.00029399999766610563,0.9614613652229309,20480.0,-0.015449238009750843,-0.0030095167458057404,-0.17510564625263214,0.004905871581286192,2.276897430419922e-05,0.1753077507019043,135.8899383544922,11.793667793273926,1.6837434768676758,13.477455139160156,151.9574737548828
1.3176074028015137,87.18181610107422,1000.0,10.0,1.377897024154663,0.018271518871188164,10.0,0.9980016946792603,0.9980016946792603,0.9980016946792603,0.017799319699406624,0.0002933999930974096,0.9607664346694946,22528.0,-0.014539000578224659,0.0009102374315261841,0.09824410825967789,0.0022674628999084234,-0.0026384086813777685,0.004919549450278282,148.91213989257812,11.247808456420898,1.7612764835357666,13.00912857055664,157.4279327392578
1.5186511278152466,86.875,1000.0,11.0,1.3731036186218262,0.013781437650322914,10.0,0.9993082284927368,0.9993082284927368,0.9993082284927368,0.01776096224784851,0.0002927999885287136,0.9563396573066711,24576.0,-0.013973912224173546,0.0005650883540511131,0.3161247968673706,0.005021495744585991,0.0027540328446775675,0.12742848694324493,162.36880493164062,11.703651428222656,1.7413122653961182,13.445013046264648,152.3241424560547
