Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/Entropy,Train/KL,Train/StopIter,Train/PolicyRatio,Train/PolicyRatio/Min,Train/PolicyRatio/Max,Train/PolicyRatio/Std,Train/LR,Train/PolicyStd,TotalEnvSteps,Loss/Loss_pi,Loss/Loss_pi/Delta,Value/Adv,Loss/Loss_reward_critic,Loss/Loss_reward_critic/Delta,Value/reward,Loss/Loss_cost_critic,Loss/Loss_cost_critic/Delta,Value/cost,Time/Total,Time/Rollout,Time/Update,Time/Epoch,Time/FPS,Misc/Alpha,Misc/FinalStepNorm,Misc/gradient_norm,Misc/xHx,Misc/H_inv_g,Misc/AcceptanceStep,Misc/cost_gradient_norm,Misc/A,Misc/B,Misc/q,Misc/r,Misc/s,Misc/Lambda_star,Misc/Nu_star,Misc/OptimCase
-0.3249523937702179,56.75,1000.0,0.0,1.4266964197158813,0.0001382220652885735,10.0,0.9993025660514832,0.996197521686554,0.996197521686554,0.0016335020773112774,0.0,1.0078035593032837,50000.0,-0.004937854595482349,-0.004937854595482349,-2.9802322831784522e-09,0.009900323115289211,0.009900323115289211,0.00877629965543747,6.059842586517334,6.059842586517334,-0.1344297081232071,16.862285614013672,8.434309959411621,8.427789688110352,16.86211395263672,2965.227783203125,1.1272542476654053,0.3189506232738495,0.08511323481798172,0.01573932357132435,0.23846586048603058,1.0,0.09320772439241409,0.01566246524453163,-33337.52734375,0.01573932357132435,0.0015244596870616078,0.030238043516874313,0.0,0.8132761716842651,0.0
-0.5111000537872314,48.1875,1000.0,1.0,1.4372977018356323,0.00015041189908515662,10.0,0.9988499879837036,0.995623767375946,0.995623767375946,0.001735097379423678,0.0,1.0185457468032837,100000.0,-0.0033232406713068485,0.0016146139241755009,-3.7252903539730653e-10,0.002684253267943859,-0.007216069847345352,0.004734734073281288,2.0933754444122314,-3.9664671421051025,0.5032112002372742,33.700927734375,8.712456703186035,8.088713645935059,16.801185607910156,2975.981689453125,0.8921021223068237,0.3148069977760315,0.1141035407781601,0.02513047680258751,0.26501601934432983,1.0,0.08095801621675491,0.02473342977464199,-25621.044921875,0.02513047680258751,0.0028865132480859756,0.020985072478652,0.0,0.9762469530105591,0.0
-0.6106315851211548,49.025001525878906,1000.0,2.0,1.440629482269287,0.00014416855992749333,10.0,1.0002046823501587,0.9988875389099121,0.9988875389099121,0.001674126135185361,0.0,1.0219314098358154,150000.0,-0.005237090401351452,-0.0019138497300446033,2.086162531611535e-08,0.0028152125887572765,0.00013095932081341743,-0.009700212627649307,2.977639675140381,0.8842642307281494,1.0842703580856323,50.96939468383789,8.564727783203125,8.659891128540039,17.224628448486328,2902.821044921875,0.8851331472396851,0.3201453685760498,0.11403153836727142,0.02552775666117668,0.2557351291179657,1.0,0.08346766233444214,0.02551795169711113,-22613.53125,0.02552775666117668,0.000500320631545037,0.02552453801035881,0.0,0.8851889371871948,0.0
-0.7366445660591125,51.756248474121094,1000.0,3.0,1.430851697921753,0.00016794692783150822,10.0,0.9998311400413513,0.9973116517066956,0.9973116517066956,0.002261624438688159,0.0,1.012008786201477,200000.0,-0.0036223693750798702,0.0016147210262715816,5.215406329028838e-09,0.0031914671417325735,0.000376254552975297,-0.021732505410909653,2.7637827396392822,-0.21385693550109863,0.5526792407035828,67.4008560180664,7.6916303634643555,8.70903205871582,16.40067481994629,3048.655517578125,0.9203356504440308,0.3072126507759094,0.10879860818386078,0.023612255230545998,0.24734261631965637,1.0,0.12011994421482086,0.022444114089012146,-15951.3232421875,0.023612255230545998,0.007240592502057552,0.04488002881407738,0.0,0.6675571203231812,0.0
-0.8668709397315979,48.1150016784668,1000.0,4.0,1.43463134765625,0.00015433999942615628,10.0,1.0001811981201172,0.998242199420929,0.998242199420929,0.0011970031773671508,0.0,1.0158390998840332,250000.0,-0.006919368170201778,-0.003296998795121908,-1.8998980166884394e-08,0.0035858575720340014,0.00039439043030142784,-0.04273197799921036,1.983600378036499,-0.7801823616027832,1.2818140983581543,84.4371337890625,7.535600185394287,9.471152305603027,17.006765365600586,2940.008056640625,0.9191721677780151,0.31630462408065796,0.10596157610416412,0.023672062903642654,0.2573651969432831,1.0,0.09782355278730392,0.02362893335521221,-18434.595703125,0.023672062903642654,-0.0011180954752489924,0.02898368611931801,0.0,0.8306883573532104,0.0
-0.8842803835868835,42.30416488647461,1000.0,5.0,1.4427917003631592,0.0001808785746106878,10.0,1.0005325078964233,0.9988517165184021,0.9988517165184021,0.0016617057844996452,0.0,1.024154543876648,300000.0,-0.007855547592043877,-0.0009361794218420982,4.470348535789981e-09,0.004828395321965218,0.0012425377499312162,-0.04977662116289139,1.281715750694275,-0.7018846273422241,1.7865511178970337,102.6114273071289,8.656937599182129,9.48674201965332,18.143692016601562,2755.779052734375,0.8293153047561646,0.27938106656074524,0.13769957423210144,0.02907973900437355,0.25365015864372253,1.0,0.10673893988132477,0.02870601788163185,-10529.1943359375,0.02907973900437355,-0.003260057419538498,0.028438400477170944,0.0,0.8386143445968628,0.0
-1.0143290758132935,37.24285888671875,1000.0,6.0,1.440830945968628,0.00013666291488334537,10.0,1.0006424188613892,0.9973364472389221,0.9973364472389221,0.0022422121837735176,0.0,1.0221564769744873,350000.0,-0.004432504530996084,0.0034230430610477924,2.086162531611535e-08,0.005106839817017317,0.00027844449505209923,-0.06259578466415405,0.7956470251083374,-0.4860687255859375,1.1014020442962646,120.3686752319336,8.56353759765625,9.156241416931152,17.71979331970215,2821.704345703125,0.8733593225479126,0.3320296108722687,0.140570268034935,0.02622067928314209,0.23062071204185486,1.0,0.04502099007368088,0.026066649705171585,-18931.1875,0.02622067928314209,-0.001104313530959189,0.007917477749288082,0.0,1.5893564224243164,0.0
-1.0480120182037354,35.78437423706055,1000.0,7.0,1.4468169212341309,0.00016649076133035123,10.0,1.000499963760376,0.9966516494750977,0.9966516494750977,0.001900825067423284,0.0,1.028302550315857,400000.0,-0.004051617346704006,0.000380887184292078,-2.3841858265427618e-08,0.005607299506664276,0.0005004596896469593,-0.056513018906116486,1.6739702224731445,0.8783231973648071,1.8768635988235474,137.6089324951172,7.635380744934082,9.568653106689453,17.204044342041016,2906.29345703125,0.8286758661270142,0.30266687273979187,0.15776777267456055,0.029124628752470016,0.23019132018089294,1.0,0.08873523771762848,0.028929660096764565,-4953.0078125,0.029124628752470016,0.0021396621596068144,0.023481128737330437,0.0,0.9229017496109009,0.0
-1.0757445096969604,33.224998474121094,1000.0,8.0,1.4624202251434326,0.00016924735973589122,10.0,1.0004807710647583,0.9981668591499329,0.9981668591499329,0.001809821929782629,0.0,1.0444846153259277,450000.0,-0.005138040985912085,-0.0010864236392080784,7.450580596923828e-09,0.0054579502902925014,-0.00014934921637177467,-0.10193923860788345,0.9534626007080078,-0.7205076217651367,1.0849460363388062,156.0906219482422,8.76378059387207,9.690252304077148,18.45404815673828,2709.4326171875,0.7724032998085022,0.2847144305706024,0.14961038529872894,0.03352290019392967,0.262037068605423,1.0,0.07278499752283096,0.033418916165828705,-5372.14794921875,0.03352290019392967,-0.001144328387454152,0.012592779472470284,0.0,1.260242223739624,0.0
-1.1749413013458252,30.962499618530273,1000.0,9.0,1.4746851921081543,0.0001435206359019503,10.0,0.9998966455459595,0.9973006248474121,0.9973006248474121,0.0022438394371420145,0.0,1.0573426485061646,500000.0,-0.00289323041215539,0.002244810573756695,1.4901161415892261e-09,0.006564890965819359,0.0011069406755268574,-0.13062988221645355,0.8190135955810547,-0.13444900512695312,0.7936850786209106,174.5905303955078,8.656097412109375,9.802610397338867,18.45871925354004,2708.747802734375,0.892114520072937,0.3134262263774872,0.14487825334072113,0.0251297689974308,0.22594515979290009,1.0,0.0654989555478096,0.02496729977428913,-2423.454833984375,0.0251297689974308,0.00154383375775069,0.014669591560959816,0.0,1.1676315069198608,0.0
